epoch,avg_reward,avg_quality_score,success_rate,complete_core_deployment_rate,sla_satisfaction_rate,full_sla_satisfaction_rate,dependency_satisfaction_rate,resource_balance_score,link_congestion_score,business_balance_score,placement_resource_score,placement_business_score,future_feasibility_score,used_link_congestion_score,random_baseline_win_rate,avg_episode_delay_ms,avg_algorithm_latency_ms,p95_algorithm_latency_ms,resource_fail_count,total_requests,updated_episodes,actor_hit_rate,fallback_count,epoch_time_s,epsilon,reliability_scale,strict_reliability_prob,top_failure_reasons,eval_epoch,eval_avg_reward,eval_avg_quality_score,eval_success_rate,eval_dependency_satisfaction_rate,eval_resource_balance_score,eval_link_congestion_score,eval_business_balance_score,eval_placement_resource_score,eval_placement_business_score,eval_future_feasibility_score,eval_used_link_congestion_score,eval_avg_episode_delay_ms,eval_avg_algorithm_latency_ms,eval_p95_algorithm_latency_ms,eval_total_requests,eval_actor_hit_rate,eval_fallback_count,eval_top_failure_reasons,imitation_coef,entropy_coef,eval_quality_best_so_far,eval_reward_best_so_far
11,22.050368542367995,0.6962209038278077,100.0,100.0,100.0,100.0,100.0,0.6876097813540971,0.41945739384807695,0.9750398146619716,0.1776721972508299,0.9545911426430149,0.7133478178392629,0.3769313969429499,0.0,13.820305000000001,42.36419186230401,136.3209625264062,0,400,400,19.9375,3843,265.24417304992676,0.3009056547907,0.8103225806451613,0.0,[],11,19.835004748697404,0.692272244111686,100.0,100.0,0.6873204654720729,0.4252650338285385,0.965672719823075,0.15805726106930093,0.908720065263977,0.7133522829461777,0.36295716006370143,8.12223,50.89421709514378,158.2768504443811,48,100.0,0,[],0.39525,0.010625,0.696255820646912,19.867813858341464
12,22.164648870120843,0.7013378797176756,100.0,100.0,100.0,100.0,100.0,0.6872525090694652,0.4222563953961396,0.971834439719233,0.21050280098663404,0.9502583427387605,0.7146844062425605,0.39031718967463364,0.0,13.8276438,37.82407566213806,85.66303544539468,0,400,400,21.0625,3789,238.80634713172913,0.2963920699688395,0.8193548387096774,0.0,[],12,19.77822149417437,0.6919371358051155,100.0,100.0,0.6873475379190291,0.4252650338285385,0.965269378369619,0.1581874893744358,0.9079531807871465,0.7133993612014707,0.3622982065549531,8.541039166666666,51.111468915021554,162.14176597357437,48,100.0,0,[],0.39299999999999996,0.0105,0.696255820646912,19.867813858341464
13,22.602503694347874,0.7055390128495027,100.0,100.0,100.0,100.0,100.0,0.6878314046672952,0.42062308455181835,0.9819230800801374,0.218705701070254,0.9632379327071413,0.7151397322203422,0.39197502330030176,0.0,13.0541398,63.962127767281345,163.61887159222533,0,400,400,22.0625,3741,400.95062613487244,0.2919461889193069,0.8283870967741935,0.0,[],13,20.581412430154618,0.6962410662255581,100.0,100.0,0.6865847369180983,0.4252189419943228,0.9675247590000261,0.1676745354052451,0.9254155988375219,0.7135532324480823,0.35936566245507406,9.343162083333334,51.302056810931795,155.68145263652693,48,100.0,0,[],0.39075,0.010375,0.696255820646912,20.581412430154618
14,22.585580829299932,0.7051590287685046,100.0,100.0,100.0,100.0,100.0,0.6878439805975765,0.42061690659150996,0.9817016991001067,0.22019977220975015,0.9619494420712692,0.7149262501385115,0.39502368997075016,0.0,12.979926300000002,63.97057237769634,164.00399364931218,0,400,400,23.375,3678,401.33573484420776,0.2875669960855173,0.8374193548387097,0.0,[],14,19.933163035923002,0.6921868910621592,100.0,100.0,0.6869609268094949,0.42534899762183204,0.9677712313730197,0.1557901047505705,0.9156449638886425,0.7134714276079134,0.36574245861466176,8.380487916666667,51.191630144128595,154.12775063530714,48,100.0,0,[],0.38849999999999996,0.01025,0.696255820646912,20.581412430154618
15,21.978774211091153,0.6955397144822529,100.0,100.0,100.0,100.0,100.0,0.6875829359276503,0.41940914091284937,0.9757153247908932,0.17306585894952004,0.9535285896173068,0.7134128382925465,0.3759814480646787,0.0,13.4228604,42.62331712084537,137.72740605603755,0,400,400,21.52083333333333,3767,266.23625206947327,0.28325349114423454,0.8464516129032258,0.0,[],15,20.011687580740226,0.6843101939458727,100.0,100.0,0.6585633474811029,0.42528860394669854,0.9710024824659328,0.12486543518454096,0.9372625680683379,0.7135172963945239,0.35738569127164505,13.967922916666666,50.943149013973105,158.81742582041625,48,100.0,0,[],0.38625,0.010125,0.696255820646912,20.581412430154618
16,22.14175513257941,0.701062607871372,100.0,100.0,100.0,100.0,100.0,0.6872477096259871,0.42224496398540934,0.9718182499367687,0.21201871174479273,0.9497613390914804,0.7146831514098699,0.394145613331715,0.0,13.8474174,38.29564681147228,87.90146425002554,0,400,400,22.91666666666667,3700,239.9818239212036,0.279004688777071,0.8554838709677419,0.0,[],16,19.94124390681847,0.6876037592903645,100.0,100.0,0.6847790601451775,0.425186665815235,0.9695459697287792,0.12780943303177605,0.9348791958836499,0.7135397929704709,0.3564406532517374,11.293215000000002,50.90382626018354,153.1230675120605,48,100.0,0,[],0.384,0.01,0.696255820646912,20.581412430154618
17,22.594644719276666,0.7054090334275755,100.0,100.0,100.0,100.0,100.0,0.6878306823331445,0.4206273837751471,0.9817073750945956,0.21759565202367603,0.9629279551641312,0.7151388578633038,0.3904412788768872,0.0,13.122207450000001,64.28919742648759,164.8317219479577,0,400,400,24.625,3618,400.3631000518799,0.27481961844541497,0.864516129032258,0.0,[],17,20.358112493023746,0.6923653500704083,100.0,100.0,0.6859025076121498,0.4253723129362385,0.9695933157410662,0.13750482542160827,0.9272694369888298,0.7133754176854924,0.3429048510151073,9.0853125,51.33284729163279,163.09563799004536,48,100.0,0,[],0.38175,0.009875,0.696255820646912,20.581412430154618
18,22.56912006287064,0.7045905508218894,100.0,100.0,100.0,100.0,100.0,0.6878395228160477,0.420621612733718,0.979873654232579,0.2156300003665332,0.9619345557780735,0.7148442572795937,0.3912619501080482,0.0,13.07160165,64.10948626052837,164.33855695428062,0,400,400,24.5,3624,398.40014481544495,0.27069732416873377,0.8735483870967742,0.0,[],18,20.333808356735613,0.6888957820511212,100.0,100.0,0.6857059033875107,0.4252745924086734,0.9681301920386535,0.13509755868918158,0.9298642756463483,0.7133582744051634,0.3585360151183885,10.411400416666668,50.89015451201501,163.43961867751204,48,100.0,0,[],0.3795,0.00975,0.696255820646912,20.581412430154618
19,22.080736355874187,0.697262448312529,100.0,100.0,100.0,100.0,100.0,0.687636508878446,0.4194855974735776,0.972844328351226,0.1801779802076802,0.9544150227442851,0.7131843509827428,0.3729773614184932,0.0,13.774750650000001,42.630576258288784,137.5022631602769,0,400,400,24.458333333333336,3626,264.62258410453796,0.26663686430620276,0.8825806451612903,0.0,[],19,20.58383714848208,0.6959352049103792,100.0,100.0,0.6861086059206946,0.42540420722903755,0.970312566500728,0.15695753669387474,0.9299862127497992,0.7134148344784096,0.3475235885124446,9.686269999999999,51.14195546535584,163.00855887227954,48,100.0,0,[],0.37725,0.009625,0.696255820646912,20.58383714848208
20,22.147578072322588,0.7008534389975037,100.0,100.0,100.0,100.0,100.0,0.6873254968776814,0.4222520904401242,0.969509865477857,0.2130294514635807,0.950337238457297,0.7144723544438074,0.3962111264235928,0.0,14.03782275,38.227586319541544,86.89057217237786,0,400,400,23.52083333333333,3671,239.07557702064514,0.2626373113416097,0.8916129032258064,0.0,[],20,20.247686924960558,0.687135972257478,100.0,100.0,0.6830157691230619,0.42514074308882527,0.9698816732761198,0.12166515243718717,0.9323572575491123,0.7135527063052914,0.3534144279951115,10.2768575,51.05304680356918,163.94575500478823,48,100.0,0,[],0.375,0.0095,0.696255820646912,20.58383714848208
