2026-05-07 20:20:55,683 [INFO] Epoch 24 | Reward=19.84 | Success=95.00% | DepDelay=15.61ms | Fail=4/80 | TopFail=[('no_candidates', 4)]
2026-05-07 20:30:17,578 [INFO] Epoch 25 | Reward=20.17 | Success=97.50% | DepDelay=19.56ms | Fail=2/80 | TopFail=[('no_candidates', 2)]
2026-05-08 00:39:00,108 [INFO] Epoch 1 | Reward=26.86 | Success=100.00% | DepDelay=30.07ms | Fail=0/20 | TopFail=[]
2026-05-08 00:39:19,160 [INFO] Epoch 2 | Reward=26.75 | Success=100.00% | DepDelay=32.27ms | Fail=0/20 | TopFail=[]
2026-05-08 00:39:53,849 [INFO] Epoch 3 | Reward=26.50 | Success=100.00% | DepDelay=38.35ms | Fail=0/20 | TopFail=[]
2026-05-08 00:40:29,350 [INFO] Epoch 4 | Reward=26.73 | Success=100.00% | DepDelay=32.83ms | Fail=0/20 | TopFail=[]
2026-05-08 00:41:36,513 [INFO] Epoch 5 | Reward=26.58 | Success=100.00% | DepDelay=36.64ms | Fail=0/20 | TopFail=[]
2026-05-08 00:42:11,751 [INFO] Epoch 6 | Reward=26.86 | Success=100.00% | DepDelay=32.24ms | Fail=0/20 | TopFail=[]
2026-05-08 00:48:49,050 [INFO] Epoch 7 | Reward=27.41 | Success=100.00% | DepDelay=14.85ms | Fail=0/80 | TopFail=[]
2026-05-08 00:54:37,800 [INFO] Epoch 8 | Reward=27.48 | Success=100.00% | DepDelay=13.20ms | Fail=0/80 | TopFail=[]
2026-05-08 01:00:25,846 [INFO] Epoch 9 | Reward=26.79 | Success=97.50% | DepDelay=14.51ms | Fail=2/80 | TopFail=[('no_candidates', 2)]
2026-05-08 01:06:46,190 [INFO] Epoch 10 | Reward=26.47 | Success=97.50% | DepDelay=22.23ms | Fail=2/80 | TopFail=[('no_candidates', 2)]
2026-05-08 01:13:06,367 [INFO] Epoch 11 | Reward=27.01 | Success=100.00% | DepDelay=24.66ms | Fail=0/80 | TopFail=[]
2026-05-08 01:20:58,550 [INFO] Epoch 12 | Reward=27.40 | Success=100.00% | DepDelay=14.24ms | Fail=0/80 | TopFail=[]
2026-05-08 01:29:38,339 [INFO] Epoch 13 | Reward=27.22 | Success=98.75% | DepDelay=11.64ms | Fail=1/80 | TopFail=[('no_candidates', 1)]
2026-05-08 01:36:48,241 [INFO] Epoch 14 | Reward=27.31 | Success=100.00% | DepDelay=17.02ms | Fail=0/80 | TopFail=[]
2026-05-08 01:43:43,158 [INFO] Epoch 15 | Reward=27.41 | Success=100.00% | DepDelay=14.28ms | Fail=0/80 | TopFail=[]
2026-05-08 01:50:51,160 [INFO] Epoch 16 | Reward=26.96 | Success=98.75% | DepDelay=18.50ms | Fail=1/80 | TopFail=[('no_candidates', 1)]
2026-05-08 01:58:35,560 [INFO] Epoch 17 | Reward=27.39 | Success=100.00% | DepDelay=14.66ms | Fail=0/80 | TopFail=[]
